SERVER - 2020-10-09 20:01:45,253 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 20:04:34,000 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:04:34,064 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:34,173 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:34,931 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:34,994 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:35,625 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:35,673 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:36,273 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:36,289 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:36,969 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:37,000 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:37,646 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:37,693 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:38,303 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:04:38,366 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:04:43,534 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
SERVER - 2020-10-09 20:05:09,483 - RECEBIMENTO | TIPO: T2 (HANDSHAKE) | TAMANHO: 14
SERVER - 2020-10-09 20:05:09,546 - ENVIO | TIPO: T2 (CONF HANDSHAKE) | TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:09,642 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:10,336 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:10,368 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:10,814 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:10,986 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:11,540 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:11,587 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:12,233 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:12,296 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:12,921 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:12,953 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:13,468 - ENVIO | TIPO: T4| TAMANHO TOTAL: 14
SERVER - 2020-10-09 20:05:13,516 - RECEBIMENTO | TIPO: T5 | 
SERVER - 2020-10-09 20:05:18,625 - ENVIO | TIPO: T5 (TIMEOUT 20s) | ENCERRANDO COMs
